model,frequency_Hz,Omega,inertial_to_elastic,D_viscous_to_elastic,w_amplitude_um,dynamic_compliance_uL_per_mmHg,phase_lag_deg,hysteresis_J_per_cycle,wall_loss_fraction,radiation_loss_fraction,nonlinearity_index,THD,third_to_fundamental,linear_exact_amplitude_um,linear_exact_phase_deg
linear,40.8423865267452,0.0104166731331742,0.000108507079163392,1.70637265522296,10.5783574353334,0.106345248018849,-59.6308262841622,1.53720010476145e-05,0.997300384574371,0.00269961542562863,0,5.41728356038375e-13,2.47413187418417e-13,10.5783391729008,-59.6307691734588
linear,46.4158883361278,0.0118381705404688,0.000140142281745223,1.93923052397503,9.58893980548427,0.0963985371155973,-62.7245942423836,1.43545982631266e-05,0.997300384574371,0.00269961542562863,0,3.62003656652421e-12,1.65059106692475e-12,9.58892424987631,-62.7245409101519
linear,52.7499706370262,0.0134536506957206,0.000181000717042464,2.20386503124377,8.64498666159828,0.0869088850766686,-65.597861202677,1.32597113025202e-05,0.997300384574371,0.00269961542562863,0,1.24912411973699e-11,5.68943223637686e-12,8.64497341397387,-65.59781193517
linear,59.9484250318941,0.0152895851959315,0.000233771415463648,2.50461253362659,7.75789550408659,0.0779908720734584,-68.2396426322166,1.21352454904677e-05,0.997300384574371,0.00269961542562862,0,5.28888132069762e-10,2.40695491870428e-10,7.75788420506722,-68.2395975024056
linear,68.1292069057962,0.0173760580492852,0.000301927393332131,2.84640114284091,6.93482078097425,0.0697164224623059,-70.6480140593481,1.10201374047269e-05,0.997300384574371,0.00269961542562863,0,6.02365359214582e-09,2.73956933507895e-09,6.93481111836093,-70.6479726616329
linear,77.4263682681127,0.0197472586380219,0.00038995422371693,3.2348314787975,6.17921559242729,0.0621202505923749,-72.8281293733742,9.94348867911782e-06,0.997300384574371,0.00269961542562863,0,4.35456930049268e-08,1.97942923156247e-08,6.17920730174608,-72.8280891526654
linear,87.9922543569107,0.0224420419528335,0.000503645247012741,3.67626844253416,5.49156968371874,0.0552072799201512,-74.7902350866486,8.92525574224739e-06,0.997300384574371,0.00269961542562863,0,2.32479532176469e-07,1.05633164840737e-07,5.49156254360087,-74.7901843216779
linear,100,0.0255045652788994,0.000650482850065643,4.17794551282051,4.87017730968252,0.0489603624248907,-76.5479143258765,7.97761127886147e-06,0.997300384574371,0.00269961542562863,0,9.79954630844982e-07,4.45123947661145e-07,4.87017113414761,-76.5478100245568
nonlinear,0.1,2.55045652788994e-05,6.50482850065643e-10,0.00417794551282051,19.7403245488011,0.198451387462373,-0.226540872364438,1.31457884313887e-07,0.997300384574371,0.00269961542562862,0.243550258307499,0.0181683407894204,0.0181422806979968,NaN,NaN
nonlinear,0.113646366638572,2.89850117664321e-05,8.40130907100208e-10,0.00474808327545979,19.7402833856449,0.198450973645192,-0.257455092928325,1.49391854411405e-07,0.997300384574371,0.00269961542562863,0.24354924259098,0.0181679290800504,0.0181418724688517,NaN,NaN
